id,page
7047474537,11
1261023156,11
9124530601,11
12817169844,11
5955629477,11
1288619168,11
399117054,11
2349860830,11
602974127,11
7017532245,11
3750055370,11
2753909571,11
6716384631,11
186505196,11
7009307451,11
6742954963,11
6713674025,11
10942887018,11
8227110001,11
11287136191,11
6277787457,11
903318293,11
3557976209,11
2637730961,11
176055176,11
5204589597,11
9022190953,11
12874456137,11
82410435,11
6221611651,11
11486398809,11
5328871784,11
2753909571,12
6742954963,12
6713674025,12
5955629477,12
11486398809,12
10942887018,12
12874456137,12
3750055370,12
5204589597,12
1288582460,12
4701674144,12
3364415981,12
3241515533,12
6891168334,12
3340275590,12
2943445535,12
10838111693,12
4350378454,12
11578612495,12
7790518252,12
271105985,12
11754490336,12
8181325237,12
4769132708,12
6312882494,12
1299973478,12
5833222294,12
7799307919,12
4589725111,12
5333065056,12
11577729764,12
5524491589,12
12886950808,12
6510204779,12
10657365561,12
5824671483,12
6540449511,12
6445420223,12
11623459250,12
5969443623,12
958328310,12
1171142983,12
9058466134,12
12817160762,12
1050390851,12
6693822608,12
5176282421,12
950865812,12
1366288012,12
6033301405,12
6693822608,13
10657365561,13
12817160762,13
1171142983,13
6540449511,13
7873533086,13
9058466134,13
6033301405,13
6510204779,13
9763545090,13
8146208773,13
5969443623,13
440352755,13
1274196452,13
4823816352,13
873101471,13
4467214,13
7218925554,13
6963681894,13
66718554,13
96568111,13
1008823280,13
910379915,13
8665513552,13
8450601370,13
6300216858,13
11336678797,13
5998624778,13
6042670033,13
4926743427,13
1000031293,13
161256502,13
6030649312,13
10952294514,13
584151623,13
7938253476,13
4915374425,13
1288582989,13
6947760838,13
8344635362,13
9182757592,13
7019905105,13
1928900633,13
6510155547,13
964670201,13
6888938494,13
7501080523,13
279963780,13
868976665,13
6740930085,13
6510155547,14
6368131852,14
6905882543,14
11511965107,14
7021701114,14
868976665,14
5787821379,14
6184893787,14
293735944,14
2159978195,14
6712432156,14
7501080523,14
7803206188,14
5972432375,14
3730458793,14
4876247559,14
8522304245,14
964670201,14
10924319044,14
5909116218,14
11089513965,14
36787066,14
3676459771,14
1510793550,14
279963780,14
6295628114,14
77262933,14
11696751303,14
221860001,14
6357499989,14
1071013578,14
5791266621,14
1833206096,14
13255303848,14
422874515,14
5235421427,14
503765331,14
6818722708,14
1067903757,14
6930794514,14
7158379857,14
5363560813,14
8540226697,14
1288488921,14
108498739,14
6709539083,14
1352391460,14
7152595566,14
9267155990,14
20639611,14
9267155990,15
5235421427,15
15211890,15
20639611,15
4470413790,15
6065230265,15
4205429760,15
1288488921,15
1067903757,15
6684049066,15
1352391460,15
5399142179,15
4519042263,15
8259323694,15
696751657,15
12173742865,15
6687666356,15
4798471255,15
6818722708,15
241779221,15
5415203709,15
2100815916,15
5834444588,15
5969282569,15
8232327522,15
5992125715,15
626650325,15
3222116,15
6211828236,15
6826789257,15
5945729119,15
6286102440,15
5468715773,15
4446331547,15
392395045,15
66240874,15
9065658783,15
5842712710,15
5445746805,15
562997019,15
7279155192,15
5156172615,15
6049440054,15
4567847683,15
902550194,15
6463705891,15
376409228,15
579057486,15
13212426934,15
6915721744,15
6286102440,16
11286902163,16
1288487455,16
392395045,16
5834444588,16
1961552595,16
1170473491,16
